contract_id,cname,cik,ftype,fdate,link,Column1,Sales contract? (Y/N),Filer is seller? (Y/N),Amendment? (Y/N),Amendment #,Customer name (be consistent),Sold product/service (be consistent),Notes,Total Words,Flesch Reading Ease Score,Gunning Fog Index,Number of Entities,Words in Entities,Number of Times,Words in Times,Number of Locations,Words in Locations,Number of Organizations,Words in Organizations,Number of Persons,Words in Persons,Number of Money,Words in Money,Number of Percentages,Words in Percentages,Number of Dates,Words in Dates,Total Sentences,Total Forward Sentences,Forward Ratio,Uncertainty Words,Polarity,Subjectivity,Positive Words,Negative Words,24b,confidential treatment,ct order,redact,rule 406,rights,obligations,commercial substance,performance obligation,probable,collectib,at a point in time,over time,variable consideration,noncash consideration,transaction price,standalone selling price,1Gram Cos Sim Step1 max=.95  ,1Gram Step 2Max 0.95,1Gram Cos Sim Step3,1Gram Cos Sim Step4  ,"1Gram Cos Sim Step5, including 5.1 and 5.2",1Gram Cos Sim Step5.1,1Gram Cos Sim Step5.2,1Gram Cos Sim All
2,PARK CITY GROUP INC,50471,8-K,8/11/2005,https://www.sec.gov/Archives/edgar/data/50471/000103883805000726/ex102form8k080505.txt, ,Y,Y,,,Cannon Equipment Company,Consulting Services,,262,-28.49,16.81,38,72,0,0,0,0,9,24,5,8,9,9,0,0,7,14,11,5,0.45,4,0.17,0.48,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058533,0,0.002399384,0.000442502,0.004463919,0,0.001959843,0.002087212
1,KELLY SERVICES INC  -CL A,55135,10-K,2/13/2020,https://www.sec.gov/Archives/edgar/data/55135/000005513520000006/kelya-20191229xexh107.htm,,Y,Y,,,AFJ DEVELOPMENT COMPANY LLC,,,9018,-25.57,39.82,1481,2778,36,167,5,7,276,659,431,499,14,21,9,21,109,252,432,9,0.02,44,0.02,0.36,33,384,0,0,0,0,0,10,26,0,0,0,0,0,0,0,0,0,0,0.013858146,0.002516236,0.010919027,0.008742307,0.010652562,0.010056132,0.00887182,0.011843263
1,KOSS CORP,56701,10-Q,5/15/2001,https://www.sec.gov/Archives/edgar/data/56701/000095012401501235/c62470ex10-3.txt,,Y,Y,Y,,LOGITECH ELECTRONICS INC,Licenses,,296,31.72,13.81,22,46,1,2,0,0,12,30,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000878363,0,0,0,0,0,0.000152666
1,KOSS CORP,56701,10-Q,1/30/2002,https://www.sec.gov/Archives/edgar/data/56701/000095012402000175/c67215ex10-23.txt,,Y,Y,Y,7,Jiangsu Electronics Industries Limited,Licenses,,296,31.72,13.81,22,46,1,2,0,0,12,30,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000878363,0,0,0,0,0,0.000152666
2,KOSS CORP,56701,10-Q,1/30/2002,https://www.sec.gov/Archives/edgar/data/56701/000095012402000175/c67215ex10-25.txt,,Y,Y,Y,,LOGITECH ELECTRONICS INC,Licenses,,234,-14.44,22.73,65,200,0,0,0,0,6,10,3,7,8,8,2,4,21,114,6,0,0,1,0.12,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000878363,0,0,0,0,0,0.000152666
1,KOSS CORP,56701,10-K,9/12/2002,https://www.sec.gov/Archives/edgar/data/56701/000095013402011206/c71712exv10w24.txt,,Y,Y,Y,8,Jiangsu Electronics Industries Limited,Licenses,,296,31.72,13.81,22,46,1,2,0,0,12,30,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004740225,0,0.000141383,0.003169644,0.00057107,0,0,0.002150559
1,KOSS CORP,56701,10-K,9/30/2004,https://www.sec.gov/Archives/edgar/data/56701/000095013404014343/d18773exv10w30.htm,,Y,Y,Y,9,Jiangsu Electronics Industries Limited,Licenses,,203,43.56,13.64,29,52,0,0,0,0,4,7,8,13,1,1,1,2,2,7,11,2,0.18,0,0.1,0.32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000773467,0,0.000675982,0,0.00072868,0,0.001441085,0.000548221
1,KOSS CORP,56701,10-K,9/28/2005,https://www.sec.gov/Archives/edgar/data/56701/000095013405018501/d29032exv10w19.htm,,Y,Y,,,"SONIGEM PRODUCTS, INC",Licenses,,2351,-4.59,28.8,499,1142,0,0,1,2,133,219,23,45,27,27,9,21,128,523,102,17,0.17,9,0.03,0.42,13,65,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0.005298524,0.004053314,0.001578509,0.008580652,0.011816758,0.00931154,0.011569719,0.007871435
2,KOSS CORP,56701,10-K,9/28/2005,https://www.sec.gov/Archives/edgar/data/56701/000095013405018501/d29032exv10w20.htm,,Y,Y,Y,,"SONIGEM PRODUCTS, INC",Licenses,,1062,24.95,16.07,268,740,0,0,0,0,58,112,13,37,30,34,4,9,102,420,37,1,0.03,8,0.16,0.46,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000861381,0.001201191,0.001196529,0.001058363,0,0,0,0.001040431
1,KULICKE & SOFFA INDUSTRIES,56978,8-K,7/31/2008,https://www.sec.gov/Archives/edgar/data/56978/000119312508162770/dex101.htm,,Y,Y,,,W.C. Heraeus GmbH,"Gold, Aluminum, and Copper Wire",,296,31.72,13.81,23,47,1,2,0,0,12,30,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015370361,0.017712291,0.01397593,0.014506847,0.005768182,0.002765145,0.005932933,0.016079662
1,LANCASTER COLONY CORP,57515,10-Q,2/9/2005,https://www.sec.gov/Archives/edgar/data/57515/000095015205000902/l11729aexv10w1.txt,,Y,Y,,,"T. MARZETTI COMPANY, LLC",Design and Build Location,,8611,27.49,15.74,909,1883,2,4,10,22,282,649,195,270,13,24,14,28,49,123,398,50,0.13,114,0.06,0.45,56,216,0,0,0,0,0,11,23,0,0,6,0,0,0,0,0,0,0,0.009881558,0.011059205,0.015891991,0.014129927,0.010506388,0.008911617,0.005959441,0.015373693
1,LANCASTER COLONY CORP,57515,8-K,3/16/2007,https://www.sec.gov/Archives/edgar/data/57515/000095015207002218/l25254aexv10w1.htm,,Y,Y,,,"SISTER SCHUBERT’S HOMEMADE ROLLS, INC.",Design and Build Location,,9714,3.94,24.99,1142,2118,5,8,10,14,331,668,175,261,27,55,16,33,71,169,497,50,0.1,101,0.06,0.43,70,266,0,0,0,0,0,15,19,0,0,6,0,0,0,0,0,0,0,0.010801535,0.011689058,0.016342901,0.014867755,0.0113721,0.009376958,0.006270627,0.016250618
1,LANCASTER COLONY CORP,57515,8-K,8/27/2010,https://www.sec.gov/Archives/edgar/data/57515/000095012310081592/c05466exv10w1.htm,,Y,Y,,,"SISTER SCHUBERT’S HOMEMADE ROLLS, INC.",Design and Build Location,,17276,-15.86,32.27,3282,4926,12,17,10,12,1094,1847,270,350,14,26,18,40,341,437,606,85,0.14,163,0.03,0.43,79,532,0,0,0,0,0,15,25,0,0,2,0,0,0,0,0,0,0,0.009644995,0.004193274,0.011504445,0.009043937,0.003431924,0.001730436,0.002751386,0.009586292
1,LANCASTER COLONY CORP,57515,10-Q,2/6/2019,https://www.sec.gov/Archives/edgar/data/57515/000005751519000006/lanc-20181231xexhibit101.htm,,Y,Y,,,"SISTER SCHUBERT’S HOMEMADE ROLLS, INC.",Design and Build Location,,11355,-124.26,75.32,975,2495,3,5,2,5,282,1058,125,178,8,14,15,32,97,253,452,76,0.17,124,0.05,0.43,68,538,0,31,0,0,0,13,37,0,0,0,0,0,0,0,0,0,0,0,0.000878363,0,0,0,0,0,0.000152666
1,LANCASTER COLONY CORP,57515,8-K,2/28/2020,https://www.sec.gov/Archives/edgar/data/57515/000119312520056538/d886192dex101.htm,,Y,Y,,,"T. MARZETTI COMPANY, LLC",Design and Build Location,,18821,17.95,18.91,2005,3600,17,22,4,10,637,1472,286,325,16,30,14,30,278,373,1108,109,0.1,291,-0.02,0.43,81,868,0,0,0,0,0,74,24,0,0,3,0,0,0,0,0,0,0,0.011126819,0.006683683,0.015639497,0.00836832,0.004953306,0.005605564,0.002526651,0.011700227
4,LEE ENTERPRISES INC,58361,10-Q,8/9/2005,https://www.sec.gov/Archives/edgar/data/58361/000119312505162850/dex107.htm,,Y,Y,,,,,,296,31.72,13.81,22,46,1,2,0,0,12,30,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000347887,0,0.001282404,0,0.000370438,0,0,0.0005314
2,LSB INDUSTRIES INC,60714,10-K/A,6/1/2000,https://www.sec.gov/Archives/edgar/data/60714/000006071400000015/0000060714-00-000015-0006.txt,,Y,Y,,,KOCH NITROGEN COMPANY,Chemicals,,296,31.72,13.81,22,46,1,2,0,0,12,30,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002628393,0.000434399,0.002050636,0.000880701,0.0024277,0.000951957,0.001087845,0.002112883
1,LSB INDUSTRIES INC,60714,10-Q/A,10/2/2001,https://www.sec.gov/Archives/edgar/data/60714/000094860001500084/koch-ag.htm,,Y,Y,,,KOCH NITROGEN COMPANY,Chemicals,,296,31.72,13.81,22,46,1,2,0,0,12,30,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007258719,0.000819746,0.007647196,0.003411386,0.003688402,0.001387431,0.001219705,0.005825894
1,LSB INDUSTRIES INC,60714,10-K,4/2/2003,https://www.sec.gov/Archives/edgar/data/60714/000006071403000002/ex1048.htm,,Y,Y,,,KOCH NITROGEN COMPANY,Chemicals,,296,31.72,13.81,23,47,1,2,0,0,11,24,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007961831,0.000704958,0.008011453,0.003880221,0.003954482,0.001240064,0.003393343,0.006267678
1,LSB INDUSTRIES INC,60714,10-K,4/7/2004,https://www.sec.gov/Archives/edgar/data/60714/000006071404000030/ex1047.htm,,Y,Y,,,KOCH NITROGEN COMPANY,Chemicals,,4021,-18.8,34.81,657,1223,2,5,5,11,132,271,203,245,2,2,9,21,93,273,197,7,0.04,45,-0.04,0.39,19,210,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0.005098334,0.005743704,0.007534608,0.004191891,0.003654867,0.00696639,0.002444591,0.006393671
2,LSB INDUSTRIES INC,60714,10-K,3/28/2005,https://www.sec.gov/Archives/edgar/data/60714/000006071405000014/ex1041.htm,,Y,Y,,,KOCH NITROGEN COMPANY,Chemicals,,4440,-27.63,38.15,776,1450,3,7,9,22,203,380,200,264,4,5,10,25,80,254,215,4,0.02,46,-0.03,0.39,23,207,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0.004149339,0.006048257,0.006740501,0.003750245,0.003283263,0.005980959,0.001886569,0.005791086
1,LSB INDUSTRIES INC,60714,10-K,3/31/2006,https://www.sec.gov/Archives/edgar/data/60714/000119312506070789/dex1042.htm,,Y,Y,Y,1,KOCH NITROGEN COMPANY,Chemicals,,410,34.63,17.62,56,132,0,0,0,0,21,53,1,1,1,1,0,0,5,17,27,0,0,3,0.18,0.39,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,LSB INDUSTRIES INC,60714,10-Q,11/8/2006,https://www.sec.gov/Archives/edgar/data/60714/000006071406000064/ex_101.htm,,Y,Y,Y,2,"Orica USA, Inc",Ammonia,,296,31.72,13.81,22,46,1,2,0,0,12,30,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002427225,0.000970296,0.000607003,0,0.001200449,0.00111869
